catalogId,displayName,genre,rarity,sagaId,sagaOrder,isLegendary,posterColorHex,tagline,slotReserved
Drama_Slot_25,Raíces Rotas,Drama,Common,,0,0,#2980B9,Volver al pueblo que nos abandonó.,0
Drama_Slot_26,Sombras de Familia,Drama,Common,,0,0,#3498DB,Los secretos que se heredan.,0
Drama_Slot_27,Tiempo Prestado,Drama,Common,,0,0,#2980B9,Vivir sabiendo que el tiempo se acaba.,0
Drama_Slot_28,Tierra de Nadie,Drama,Common,,0,0,#3498DB,"Entre dos mundos, sin pertenecer a ninguno.",0
Drama_Slot_29,Vida y Obra,Drama,Common,,0,0,#3498DB,La biografía de un siglo.,0
Drama_Legendary,[TBD Legendary Drama],Drama,Legendary,,0,1,#3498DB,[CATALOG SLOT],1
Horror_Slot_01,Aberración,Horror,Common,,0,0,#8E44AD,Algo salió mal en el laboratorio.,0
Horror_Slot_02,Bestia,Horror,Common,,0,0,#8E44AD,Una criatura que desafía toda clasificación científica.,0
Horror_Slot_03,Caja Negra,Horror,Common,,0,0,#8E44AD,Encontrar la caja fue el principio del fin.,0
Horror_Slot_04,Carne y Hueso,Horror,Common,,0,0,#7D3C98,El monstruo más aterrador es el humano.,0
Horror_Slot_05,Caza Nocturna,Horror,Common,,0,0,#7D3C98,La noche pertenece a los que cazan.,0
Horror_Slot_06,Cosas que Acechan,Horror,Common,,0,0,#7D3C98,No mires debajo de la cama.,0
Horror_Slot_07,Dimensión Oscura,Horror,Common,,0,0,#8E44AD,Una grieta en la realidad deja pasar algo.,0
Horror_Slot_08,Eco del Infierno,Horror,Common,,0,0,#8E44AD,Voces que vienen del más allá.,0
Horror_Slot_09,El Culto,Horror,Common,,0,0,#7D3C98,Una secta que nunca deja ir a sus miembros.,0
Horror_Slot_10,El Exorcismo de Villa Roja,Horror,Common,,0,0,#7D3C98,Una posesión que desafía toda lógica.,0
Horror_Slot_11,El Portal,Horror,Common,,0,0,#8E44AD,Abrir la puerta fue el peor error.,0
Horror_Slot_12,El Psicópata,Horror,Common,,0,0,#7D3C98,"Una mente retorcida, una ciudad aterrorizada.",0
Horror_Slot_13,El Ritual,Horror,Common,,0,0,#8E44AD,Ceremonias que no deben realizarse.,0
Horror_Slot_14,El Último Grito,Horror,Common,,0,0,#8E44AD,"Cinco amigos, una cabaña, ningún retorno.",0
Horror_Slot_15,Engendro,Horror,Common,,0,0,#7D3C98,Una creación que se volvió contra su creador.,0
Horror_Slot_16,Gritos en el Bosque,Horror,Common,,0,0,#8E44AD,El bosque recuerda lo que enterramos.,0
Horror_Slot_17,La Casa del Fin,Horror,Common,,0,0,#8E44AD,Una casa que no deja salir a sus huéspedes.,0
Horror_Slot_18,La Criatura del Pantano,Horror,Common,,0,0,#8E44AD,Algo antiguo despertó en las aguas.,0
Horror_Slot_19,La Guarida,Horror,Common,,0,0,#7D3C98,Su hogar ya no les pertenece.,0
Horror_Slot_20,La Infección,Horror,Common,,0,0,#7D3C98,Un virus que convierte lo humano en monstruo.,0
Horror_Slot_21,La Máscara,Horror,Common,,0,0,#7D3C98,Detrás de cada máscara hay una historia sangrienta.,0
Horror_Slot_22,La Plaga,Horror,Common,,0,0,#7D3C98,Cuando la enfermedad toma control.,0
Horror_Slot_23,Maldición Ancestral,Horror,Common,,0,0,#7D3C98,Una maldición que dura siglos.,0
Horror_Slot_24,Noche de los Muertos,Horror,Common,,0,0,#8E44AD,Los muertos vuelven con hambre.,0
Horror_Slot_25,Oscuridad Total,Horror,Common,,0,0,#8E44AD,"Sin luz, el miedo se amplifica.",0
Horror_Slot_26,Pesadilla Recurrente,Horror,Common,,0,0,#7D3C98,El sueño no es el refugio que creías.,0
Horror_Slot_27,Punto Sin Retorno,Horror,Common,,0,0,#8E44AD,Ya no hay camino de vuelta.,0
Horror_Slot_28,Sangre en las Paredes,Horror,Common,iron_circuit,1,0,#8E44AD,Una casa construida sobre secretos.,0
Horror_Slot_29,Sombras del Pasado,Horror,Common,,0,0,#7D3C98,El pasado siempre regresa.,0
Horror_Legendary,[TBD Legendary Horror],Horror,Legendary,,0,1,#8E44AD,[CATALOG SLOT],1
Comedy_Slot_01,Amor en Cuarentena,Comedy,Common,,0,0,#F39C12,Enamorarse en el peor momento posible.,0
Comedy_Slot_02,Boda de Película,Comedy,Common,,0,0,#D35400,Organizar una boda en 48 horas.,0
Comedy_Slot_03,Caos Total,Comedy,Common,,0,0,#D35400,Un día donde todo sale mal a la vez.,0
Comedy_Slot_04,Cuerpos Cambiados,Comedy,Common,,0,0,#F39C12,Un niño en el cuerpo de un CEO.,0
Comedy_Slot_05,Doble Identidad,Comedy,Common,,0,0,#F39C12,Ser dos personas a la vez agota.,0
Comedy_Slot_06,El Agente Secreto Torpe,Comedy,Common,,0,0,#F39C12,La CIA no entrenó para esto.,0
Comedy_Slot_07,El Chef Accidental,Comedy,Common,shadow_trigger,1,0,#D35400,Un fontanero que acaba dirigiendo un restaurante.,0
Comedy_Slot_08,El Detective Torpe,Comedy,Common,,0,0,#D35400,Resolver crímenes por accidente.,0
Comedy_Slot_09,El Doble Perfecto,Comedy,Common,,0,0,#D35400,Hacerse pasar por famoso tiene sus riesgos.,0
Comedy_Slot_10,El Falso Médico,Comedy,Common,,0,0,#D35400,Pasarse por doctor sin estudios fue mala idea.,0
Comedy_Slot_11,El Gran Malentendido,Comedy,Common,,0,0,#D35400,Una cadena de errores que no para de crecer.,0
Comedy_Slot_12,El Heredero Rebelde,Comedy,Common,,0,0,#D35400,Heredar un imperio que no quieres.,0
Comedy_Slot_13,El Jefe Imposible,Comedy,Common,,0,0,#F39C12,Trabajar para el peor jefe del mundo.,0
Comedy_Slot_14,El Millonario Accidental,Comedy,Common,,0,0,#F39C12,Ganar la lotería es el inicio de los problemas.,0
Comedy_Slot_15,El Novio Fantasma,Comedy,Common,,0,0,#F39C12,Cuando tu prometido resulta ser un espíritu.,0
Comedy_Slot_16,El Papá Modernísimo,Comedy,Common,,0,0,#F39C12,Criar hijos en la era digital.,0
Comedy_Slot_17,El Político Honesto,Comedy,Common,,0,0,#F39C12,El único político que no miente sobrevive... por poco.,0
Comedy_Slot_18,El Show Debe Continuar,Comedy,Common,,0,0,#F39C12,"En el escenario del mundo, todos actuamos.",0
Comedy_Slot_19,El Vecino Espía,Comedy,Common,,0,0,#D35400,El vecino más curioso del edificio.,0
Comedy_Slot_20,El Último Cómico,Comedy,Common,,0,0,#D35400,El último grande del humor.,0
Comedy_Slot_21,Familia en Fuga,Comedy,Common,,0,0,#D35400,Escapar de la familia en unas vacaciones.,0
Comedy_Slot_22,Intercambio de Vidas,Comedy,Common,,0,0,#D35400,Vivir la vida del otro es más difícil de lo que parece.,0
Comedy_Slot_23,La Gran Comedia Nacional,Comedy,Common,,0,0,#D35400,Una sátira del país que todos reconocerán.,0
Comedy_Slot_24,La Reunión de Excompañeros,Comedy,Common,iron_circuit,2,0,#F39C12,Reunirse veinte años después.,0
Comedy_Slot_25,Los Vecinos del Caos,Comedy,Common,,0,0,#D35400,Vivir junto a la familia más ruidosa del barrio.,0
Comedy_Slot_26,Mi Cuñado Es un Desastre,Comedy,Common,,0,0,#F39C12,La familia política más caótica del barrio.,0
Comedy_Slot_27,Novatos,Comedy,Common,,0,0,#F39C12,Su primer día de trabajo.,0
Comedy_Slot_28,Operación Suegra,Comedy,Common,,0,0,#F39C12,Impresionar a la suegra es cuestión de vida o muerte.,0
Comedy_Slot_29,Superstar Accidental,Comedy,Common,,0,0,#D35400,"Viral por accidente, famoso por necesidad.",0
Comedy_Legendary,[TBD Legendary Comedy],Comedy,Legendary,,0,1,#F39C12,[CATALOG SLOT],1
Fantasy_Slot_01,[TBD Fantasy 01],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_02,[TBD Fantasy 02],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_03,[TBD Fantasy 03],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_04,[TBD Fantasy 04],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_05,[TBD Fantasy 05],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_06,[TBD Fantasy 06],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_07,[TBD Fantasy 07],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_08,[TBD Fantasy 08],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_09,[TBD Fantasy 09],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_10,[TBD Fantasy 10],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_11,[TBD Fantasy 11],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_12,[TBD Fantasy 12],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_13,[TBD Fantasy 13],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_14,[TBD Fantasy 14],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_15,[TBD Fantasy 15],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_16,[TBD Fantasy 16],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_17,[TBD Fantasy 17],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_18,[TBD Fantasy 18],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_19,[TBD Fantasy 19],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_20,[TBD Fantasy 20],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_21,[TBD Fantasy 21],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_22,[TBD Fantasy 22],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_23,[TBD Fantasy 23],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_24,[TBD Fantasy 24],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_25,[TBD Fantasy 25],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_26,[TBD Fantasy 26],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_27,[TBD Fantasy 27],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_28,[TBD Fantasy 28],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Slot_29,[TBD Fantasy 29],Fantasy,Common,,0,0,#9B59B6,[CATALOG SLOT],0
Fantasy_Legendary,[TBD Legendary Fantasy],Fantasy,Legendary,,0,1,#9B59B6,[CATALOG SLOT],0
Romance_Slot_01,Amor Sin Fin,Romance,Common,,0,0,#C2185B,Una historia de amor que dura para siempre.,0
Romance_Slot_02,Amor en Tokyo,Romance,Common,,0,0,#C2185B,Un amor que nació entre tradiciones distintas.,0
Romance_Slot_03,Cartas de Abril,Romance,Common,,0,0,#E91E8C,Un amor epistolar que desafía el tiempo.,0
Romance_Slot_04,Corazones Cruzados,Romance,Common,,0,0,#E91E8C,Dos almas que siempre se encuentran.,0
Romance_Slot_05,Danzando en la Oscuridad,Romance,Common,,0,0,#E91E8C,Bailar sin poder verse.,0
Romance_Slot_06,Dos Mundos Distintos,Romance,Common,,0,0,#C2185B,"Él de clase alta, ella de barrio. El amor no entiende de clases.",0
Romance_Slot_07,El Amor Prohibido,Romance,Common,,0,0,#E91E8C,Amar cuando el mundo lo prohíbe.,0
Romance_Slot_08,El Arquitecto de Sueños,Romance,Common,,0,0,#E91E8C,Construir juntos algo más que una casa.,0
Romance_Slot_09,El Barista,Romance,Common,,0,0,#C2185B,Enamorarse de la persona que prepara tu café.,0
Romance_Slot_10,El Billete de Tren,Romance,Common,,0,0,#C2185B,Un viaje en tren cambia su vida para siempre.,0
Romance_Slot_11,El Contrato Nupcial,Romance,Common,,0,0,#C2185B,Casarse por acuerdo y enamorarse por accidente.,0
Romance_Slot_12,El Destino Tenía un Plan,Romance,Common,,0,0,#E91E8C,Dos personas que el universo siempre une.,0
Romance_Slot_13,El Hombre del Sombrero,Romance,Common,shadow_trigger,3,0,#C2185B,Un misterioso desconocido en el mercado.,0
Romance_Slot_14,El Restaurante Secreto,Romance,Common,,0,0,#E91E8C,Enamorarse del chef que nunca muestra su cara.,0
Romance_Slot_15,Eternamente,Romance,Common,,0,0,#E91E8C,El amor más grande jamás filmado.,0
Romance_Slot_16,Eterno Retorno,Romance,Common,,0,0,#C2185B,El amor que se repite a través del tiempo.,0
Romance_Slot_17,Flores de Invierno,Romance,Common,,0,0,#E91E8C,Amor que florece en el frío.,0
Romance_Slot_18,La Fotógrafa de Guerra,Romance,Common,,0,0,#E91E8C,Un amor nació donde menos se esperaba.,0
Romance_Slot_19,La Historia de Amor del Siglo,Romance,Common,,0,0,#C2185B,Dos vidas entrelazadas por el destino.,0
Romance_Slot_20,La Librería de los Sueños,Romance,Common,,0,0,#E91E8C,Encontrarse entre las páginas.,0
Romance_Slot_21,La Nota de la Canción,Romance,Common,neon_drift,1,0,#E91E8C,Una canción que los unió.,0
Romance_Slot_22,La Pianista,Romance,Common,,0,0,#E91E8C,La música como lenguaje del amor.,0
Romance_Slot_23,La Propuesta,Romance,Common,,0,0,#C2185B,La propuesta más inesperada del año.,0
Romance_Slot_24,La Segunda Oportunidad,Romance,Common,,0,0,#E91E8C,Reconectar con el amor perdido años atrás.,0
Romance_Slot_25,Más Allá del Océano,Romance,Common,,0,0,#C2185B,Un amor que sobrevive la distancia.,0
Romance_Slot_26,Medianoche en Roma,Romance,Common,,0,0,#C2185B,Una noche en la ciudad eterna.,0
Romance_Slot_27,Primer Café,Romance,Common,,0,0,#E91E8C,Dos desconocidos en la misma cafetería.,0
Romance_Slot_28,Promesas Bajo la Lluvia,Romance,Common,,0,0,#C2185B,Una promesa hecha en la tormenta.,0
Romance_Slot_29,Siete Días,Romance,Common,,0,0,#C2185B,Solo tienen una semana para decidir.,0
Romance_Legendary,[TBD Legendary Romance],Romance,Legendary,,0,1,#E91E63,[CATALOG SLOT],1
Thriller_Slot_01,[TBD Thriller 01],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_02,[TBD Thriller 02],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_03,[TBD Thriller 03],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_04,[TBD Thriller 04],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_05,[TBD Thriller 05],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_06,[TBD Thriller 06],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_07,[TBD Thriller 07],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_08,[TBD Thriller 08],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_09,[TBD Thriller 09],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_10,[TBD Thriller 10],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_11,[TBD Thriller 11],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_12,[TBD Thriller 12],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_13,[TBD Thriller 13],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_14,[TBD Thriller 14],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_15,[TBD Thriller 15],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_16,[TBD Thriller 16],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_17,[TBD Thriller 17],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_18,[TBD Thriller 18],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_19,[TBD Thriller 19],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_20,[TBD Thriller 20],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_21,[TBD Thriller 21],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_22,[TBD Thriller 22],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_23,[TBD Thriller 23],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_24,[TBD Thriller 24],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_25,[TBD Thriller 25],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_26,[TBD Thriller 26],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_27,[TBD Thriller 27],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_28,[TBD Thriller 28],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Slot_29,[TBD Thriller 29],Thriller,Common,,0,0,#34495E,[CATALOG SLOT],0
Thriller_Legendary,[TBD Legendary Thriller],Thriller,Legendary,,0,1,#34495E,[CATALOG SLOT],0
Animation_Slot_01,[TBD Animation 01],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
Animation_Slot_02,[TBD Animation 02],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
Animation_Slot_03,[TBD Animation 03],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
Animation_Slot_04,[TBD Animation 04],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
Animation_Slot_05,[TBD Animation 05],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
Animation_Slot_06,[TBD Animation 06],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
Animation_Slot_07,[TBD Animation 07],Animation,Common,,0,0,#E67E22,[CATALOG SLOT],0
