RecordType,catalogId,movieName,genre,posterFile,status,detail
Premium,Documentary_The_Archivist,Cities Of Tomorrow,Documentary,CitiesOfTomorrow.png,OK,
Premium,Documentary_The_Glassblower,Desert Kingdoms,Documentary,DesertKingdoms.png,OK,
Premium,Documentary_The_Last_Beekeeper,Secrets of the Reef,Documentary,SecretsoftheReef.png,OK,
Premium,Documentary_Tracks_in_Dust,The Last Forest,Documentary,TheLastForest.png,OK,
Premium,Documentary_Voices_of_the_Deep_II,Edge Of The Volcano,Documentary,EdgeOfTheVolcano.png,OK,
Premium,Drama_Blue_Hour,A Pl A Cec A Lled Tomorrow,Drama,APlACecALledTomorrow.png,OK,
Premium,Drama_Fading_Light,A Utumnh A Rbor,Drama,AUtumnhARbor.png,OK,
Premium,Drama_Open_Field,Be For E The Rain,Drama,BeForETheRain.png,OK,
Premium,Drama_Silent_Auction,Bene At Hquietw At Ers,Drama,BeneAtHquietwAtErs.png,OK,
Premium,Drama_Stone_Garden,Betweentwo Sea S On S,Drama,BetweentwoSeaSOnS.png,OK,
Premium,Drama_Two_Rivers,The Bookshop On Ced A Rstreet,Drama,TheBookshopOnCedARstreet.png,OK,
Premium,Drama_Undertow,The Last Summer House,Drama,TheLastSummerHouse.png,OK,
Premium,Drama_Winter_Letters,Winter  Letters,Drama,WinterLetters.png,OK,
Premium,Drama_Ash_and_Honey,The Logest Sea S On,Drama,TheLogestSeaSOn.png,OK,
Premium,Drama_Evening_Class,The L On G Road Home,Drama,TheLOnGRoadHome.png,OK,
Premium,Drama_Field_Notes,The Oldpi An O,Drama,TheOldpiAnO.png,OK,
Premium,Drama_Ledger_of_Grace,The Quietshore,Drama,TheQuietshore.png,OK,
Premium,Drama_Legendary,When the River Sleeps,Drama,WhentheRiverSleeps.png,OK,
Premium,Fantasy_Ash_Crown,The Emer A Ld To Wer,Fantasy,TheEmerALdToWer.png,OK,
Premium,Fantasy_Dragon_s_Debt,The Forgotten M A Ge,Fantasy,TheForgottenMAGe.png,OK,
Premium,Fantasy_River_of_Stars,Beyond Frostpe A K,Fantasy,BeyondFrostpeAK.png,OK,
Premium,Fantasy_Runebreaker,The Gate S Of Elderglen,Fantasy,TheGateSOfElderglen.png,OK,
Premium,Fantasy_Spellbound_Market,The Goldenst A G,Fantasy,TheGoldenstAG.png,OK,
Premium,Fantasy_Starforge,The Hidden Grove,Fantasy,TheHiddenGrove.png,OK,
Premium,Fantasy_The_Glass_Forest_III,Moon S To Ne Path,Fantasy,MoonSToNePath.png,OK,
Premium,Fantasy_Throne_of_Thorns,The Cryst A L Forest,Fantasy,TheCrystALForest.png,OK,
Premium,Fantasy_Witch_s_Bargain,The Kingdom Of Silent Moon S,Fantasy,TheKingdomOfSilentMoonS.png,OK,
Premium,Fantasy_Crown_of_Embers,The Last Dr A G On Keeper,Fantasy,TheLastDrAGOnKeeper.png,OK,
Premium,Fantasy_Dragon_s_Echo,The Silvercrown,Fantasy,TheSilvercrown.png,OK,
Premium,Fantasy_Forgotten_Realm,The Star Bornqueen,Fantasy,TheStarBornqueen.png,OK,
Premium,Fantasy_Glass_Crown,Whisperw In D V A Lley,Fantasy,WhisperwInDVALley.png,OK,
Premium,Fantasy_Legendary,Song of the Forgotten Realm,Fantasy,SongoftheForgottenRealm.png,OK,
Premium,Horror_Borrowed_Skin,Black Wood Road,Horror,BlackWoodRoad.png,OK,
Premium,Horror_Crimson_Static,Dead Silence Motel,Horror,DeadSilenceMotel.png,OK,
Premium,Horror_Grave_Shift,House At Winter L A Ke,Horror,HouseAtWinterLAKe.png,OK,
Premium,Horror_Last_Rites,Red Creek,Horror,RedCreek.png,OK,
Premium,Horror_Moth_Parish,The Bellbene At H The L A Ke,Horror,TheBellbeneAtHTheLAKe.png,OK,
Premium,Horror_Night_Garden,Bene At H A Sh Hill,Horror,BeneAtHAShHill.png,OK,
Premium,Horror_Pale_Door,The Empty Ch A Pel,Horror,TheEmptyChAPel.png,OK,
Premium,Horror_Red_Nursery,The Forgotten Well,Horror,TheForgottenWell.png,OK,
Premium,Horror_Silent_Hive,The Last Bo A Dc A St,Horror,TheLastBoADcASt.png,OK,
Premium,Horror_Skinwalker_Line,The Vill A Ge With Out N A Mes,Horror,TheVillAGeWithOutNAMes.png,OK,
Premium,Horror_The_Veil_Thin,The Watcher In Room12,Horror,TheWatcherInRoom12.png,OK,
Premium,Horror_Blackwater_Echo,The Whispering Woods,Horror,TheWhisperingWoods.png,OK,
Premium,Horror_Legendary,The Hollow House,Horror,TheHollowHouse.png,OK,
Premium,Romance_Beneath_the_Summer_Sky_III,A Utumnpromise,Romance,AUtumnpromise.png,OK,
Premium,Romance_Coffee_at_Dawn,The Book Of Us,Romance,TheBookOfUs.png,OK,
Premium,Romance_Crossed_Lines,The Last T Rain To P A Ris,Romance,TheLastTRainToPARis.png,OK,
Premium,Romance_Golden_Hour,Be For E Sun Rise,Romance,BeForESunRise.png,OK,
Premium,Romance_Harbor_Lights,The Light Betweenus,Romance,TheLightBetweenus.png,OK,
Premium,Romance_Letters_in_Rain,The Winter C A Fé,Romance,TheWinterCAF.png,OK,
Premium,Romance_Midnight_Train,Letters A Cross The Sea,Romance,LettersACrossTheSea.png,OK,
Premium,Romance_Paper_Hearts,Mid Night In Ver On A,Romance,MidNightInVerOnA.png,OK,
Premium,Romance_Paris_Delay,Where  The   Ocean  Meets  The   Sky,Romance,WhereTheOceanMeetsTheSky.png,OK,
Premium,Romance_Quiet_Harbor,On Emore Summer,Romance,OnEmoreSummer.png,OK,
Premium,Romance_The_Long_Hello,Summer On Willowstreet,Romance,SummerOnWillowstreet.png,OK,
Premium,Romance_Legendary,A Sky for Two,Romance,ASkyforTwo.png,OK,
Premium,SciFi_Core_Breach,Beyond Helios,SciFi,BeyondHelios.png,OK,
Premium,SciFi_Phase_Shift,Dark Matter Protocol,SciFi,DarkMatterProtocol.png,OK,
Premium,SciFi_Stellar_Cartel,Event Horizon A Rr A Y,SciFi,EventHorizonARrAY.png,OK,
Premium,SciFi_Atlas_Signal,The Drift,SciFi,TheDrift.png,OK,
Premium,SciFi_Deep_Archive,The Empty Colony,SciFi,TheEmptyColony.png,OK,
Premium,SciFi_Ion_Storm,The Final Horizon,SciFi,TheFinalHorizon.png,OK,
Premium,SciFi_Machine_Psalm,The Last Beacon,SciFi,TheLastBeacon.png,OK,
Premium,SciFi_Neural_Ghost,The Silent Galaxy,SciFi,TheSilentGalaxy.png,OK,
Premium,SciFi_Code_Genesis,Ghost S Of Europa,SciFi,GhostSOfEuropa.png,OK,
Premium,SciFi_Cryo_Wake,Signal From Below,SciFi,SignalFromBelow.png,OK,
Premium,SciFi_Gravity_Well,Silent Orbit,SciFi,SilentOrbit.png,OK,
Premium,SciFi_Orbital_Ransom,Station Eos,SciFi,StationEos.png,OK,
Premium,SciFi_Terraformers,The Aether Collapse,SciFi,TheAetherCollapse.png,OK,
Premium,SciFi_The_Last_Colony,The At L A S Paradox,SciFi,TheAtLASParadox.png,OK,
Premium,SciFi_Legendary,Echoes of Titan,SciFi,EchoesofTitan.png,OK,
Premium,Thriller_Cold_Case_Heat,Black A Rchive,Thriller,BlackARchive.png,OK,
Premium,Thriller_Glass_Witness,C A Se114,Thriller,CASe114.png,OK,
Premium,Thriller_Night_Ledger,Dead Letter Of F Ice,Thriller,DeadLetterOfFIce.png,OK,
Premium,Thriller_Proxy_Kill,Projectl A Z A Rus,Thriller,ProjectlAZARus.png,OK,
Premium,Thriller_Red_File_12,Silenceevidence,Thriller,Silenceevidence.png,OK,
Premium,Thriller_Red_File_27_II,The Dep A Rtmentbelow,Thriller,TheDepARtmentbelow.png,OK,
Premium,Thriller_Red_File_27_III,The Forgotten C A Se,Thriller,TheForgottenCASe.png,OK,
Premium,Thriller_Red_Horizon,The Last Record In G,Thriller,TheLastRecordInG.png,OK,
Premium,Thriller_Shadow_Trigger_III,The Miss In Gwitness,Thriller,TheMissInGwitness.png,OK,
Premium,Thriller_Silent_Contract,The N In Thfloor,Thriller,TheNInThfloor.png,OK,
Premium,Thriller_The_Black_Ledger_V,The Shadow Network,Thriller,TheShadowNetwork.png,OK,
Premium,Thriller_Legendary,Red File 27,Thriller,RedFile27.png,OK,
